Date,Article,Quantity,Type
2024-01-17,EM0400,-325.0,Reception
2024-01-22,EM0400,-125.0,Reception
2024-02-16,EM0400,-126.0,Reception
2024-03-06,EM0392,-275.0,Reception
2024-04-17,EM0400,-175.0,Reception
2024-06-24,EM0392,-168.0,Reception
2024-06-24,EM0392,-168.0,Reception
2024-07-11,EM0400,-126.0,Reception
2024-07-11,EM0400,-210.0,Reception
2024-08-20,EM0400,-168.0,Reception
2024-08-22,EM0400,-210.0,Reception
2024-10-12,EM0400,-126.0,Reception
2024-11-15,EM0392,-150.0,Reception
2024-04-27,EM0392,100.0,Reception
2024-04-27,EM0392,100.0,Reception
2024-05-28,EM0392,50.0,Reception
2024-05-28,EM0392,75.0,Reception
2024-05-28,EM0392,125.0,Reception
2024-05-29,EM0392,400.0,Reception
2024-05-30,EM0392,200.0,Reception
2024-06-01,EM0392,250.0,Reception
2024-06-01,EM0400,336.0,Reception
2024-06-01,EM0400,84.0,Reception
2024-06-03,EM0392,150.0,Reception
2024-06-03,EM0400,378.0,Reception
2024-06-04,EM0392,200.0,Reception
2024-06-04,EM0392,125.0,Reception
2024-06-05,EM0392,175.0,Reception
2024-06-05,EM0392,125.0,Reception
2024-06-07,EM0392,225.0,Reception
2024-06-07,EM0392,225.0,Reception
2024-06-08,EM0392,225.0,Reception
2024-06-08,EM0392,225.0,Reception
2024-06-10,EM0392,250.0,Reception
2024-06-10,EM0392,275.0,Reception
2024-06-10,EM0392,25.0,Reception
2024-06-11,EM0392,125.0,Reception
2024-06-11,EM0392,150.0,Reception
2024-06-12,EM0392,125.0,Reception
2024-06-12,EM0392,75.0,Reception
2024-06-14,EM0400,210.0,Reception
2024-06-14,EM0400,168.0,Reception
2024-12-13,EM0400,378.0,Reception
2024-12-13,EM0400,378.0,Reception
2024-12-14,EM0400,336.0,Reception
2024-12-14,EM0400,336.0,Reception
2024-12-17,EM0400,210.0,Reception
2024-12-17,EM0400,168.0,Reception
2024-01-06,EM0400,630.0,Reception
2024-01-06,EM0392,550.0,Reception
2024-01-08,EM0400,672.0,Reception
2024-01-08,EM0392,525.0,Reception
2024-01-09,EM0400,336.0,Reception
2024-01-09,EM0392,100.0,Reception
2024-01-10,EM0400,336.0,Reception
2024-01-10,EM0392,225.0,Reception
2024-01-10,EM0392,200.0,Reception
2024-01-11,EM0392,250.0,Reception
2024-01-11,EM0400,252.0,Reception
2024-01-12,EM0392,250.0,Reception
2024-01-12,EM0400,336.0,Reception
2024-01-15,EM0400,756.0,Reception
2024-01-15,EM0400,504.0,Reception
2024-01-15,EM1523,11.1,Reception
2024-01-16,EM0392,500.0,Reception
2024-01-17,EM0400,325.0,Reception
2024-01-17,EM0392,325.0,Reception
2024-01-18,EM1499,9.6,Reception
2024-01-19,EM0400,42.0,Reception
2024-01-19,EM0392,25.0,Reception
2024-01-22,EM0400,336.0,Reception
2024-01-22,EM0400,462.0,Reception
2024-01-22,EM0400,125.0,Reception
2024-01-22,EM0392,125.0,Reception
2024-01-22,EM0392,200.0,Reception
2024-01-23,EM0392,225.0,Reception
2024-01-24,EM0400,210.0,Reception
2024-01-25,EM0400,252.0,Reception
2024-01-25,EM0392,250.0,Reception
2024-01-25,EM0392,125.0,Reception
2024-01-26,EM0400,84.0,Reception
2024-01-26,EM0400,126.0,Reception
2024-01-26,EM0392,175.0,Reception
2024-01-27,EM0400,168.0,Reception
2024-01-27,EM0392,100.0,Reception
